epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,3437.27,1.25693,0.74815,0.85615,0.51569,0.39916,0.40642,0.24042,1.31003,0.89974,0.87382,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3480.26,1.26185,0.75172,0.85321,0.50621,0.40156,0.40642,0.23974,1.31107,0.9003,0.87291,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3523.68,1.26153,0.74892,0.85325,0.50787,0.40102,0.40641,0.23952,1.31418,0.90323,0.87343,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3566.68,1.25136,0.74069,0.85336,0.50668,0.40307,0.40826,0.23993,1.31267,0.90269,0.8729,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3609.09,1.25601,0.7445,0.85286,0.50926,0.39638,0.40597,0.2392,1.31171,0.90205,0.87278,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3651.58,1.25282,0.73879,0.8529,0.51337,0.40002,0.40659,0.23965,1.31125,0.90302,0.87332,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3694.95,1.2552,0.73656,0.852,0.50527,0.40118,0.40644,0.24013,1.31285,0.90541,0.87354,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3738.2,1.24391,0.73251,0.85089,0.50066,0.40372,0.40559,0.23947,1.31282,0.90394,0.87391,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3781.95,1.24417,0.73175,0.85101,0.50153,0.40338,0.4059,0.23933,1.31349,0.90351,0.87359,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3824.89,1.24544,0.72975,0.85048,0.50611,0.40219,0.40708,0.2399,1.31401,0.90521,0.87374,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3867.05,1.2415,0.72697,0.85064,0.50892,0.40162,0.40693,0.24044,1.31114,0.90393,0.87324,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3909.29,1.23774,0.7234,0.84901,0.49194,0.40926,0.40684,0.24005,1.3109,0.90564,0.87301,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3952.54,1.23209,0.71858,0.84848,0.4988,0.4026,0.40572,0.23969,1.31133,0.90439,0.87349,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3995.06,1.23738,0.71975,0.84888,0.49566,0.40525,0.40519,0.23891,1.3129,0.90544,0.8738,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4037.26,1.23442,0.71928,0.84935,0.51006,0.39909,0.40564,0.23929,1.3121,0.906,0.87411,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4080.55,1.19662,0.69305,0.85313,0.51475,0.39505,0.40215,0.23708,1.31575,0.90738,0.87463,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4123.42,1.18659,0.67873,0.84927,0.5084,0.39782,0.40085,0.23677,1.31866,0.90681,0.87515,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4165.3,1.18309,0.67615,0.8486,0.51292,0.3967,0.40118,0.23621,1.32045,0.90707,0.87528,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4207.04,1.17699,0.67208,0.84989,0.51243,0.3963,0.40157,0.23657,1.32074,0.91,0.87539,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4248.81,1.17374,0.6672,0.84779,0.51081,0.39701,0.40176,0.23661,1.31955,0.91184,0.87522,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,48.0003,1.23435,0.71795,0.84948,0.50785,0.40016,0.40363,0.23786,1.31523,0.90763,0.87418,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,89.7719,1.21805,0.70417,0.84705,0.5091,0.40144,0.40475,0.23853,1.31382,0.90688,0.87407,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,131.68,1.21948,0.70161,0.84666,0.51097,0.4009,0.40632,0.23917,1.31327,0.90614,0.87392,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,177.709,1.21278,0.69832,0.84625,0.50719,0.40191,0.40569,0.23875,1.3128,0.90764,0.87384,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,220.049,1.21123,0.69796,0.84715,0.50658,0.40259,0.40549,0.23895,1.31252,0.90848,0.87387,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
