epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4095.85,1.3734,0.83675,0.94703,0.61416,0.51203,0.53679,0.32859,1.37972,0.87562,0.96741,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4228.03,1.37521,0.83869,0.94876,0.62815,0.50611,0.53966,0.32994,1.37468,0.87369,0.96595,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,126.675,1.23638,0.83455,0.94751,0.61674,0.50851,0.5357,0.33019,1.23071,0.87234,0.96616,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,251.829,1.23005,0.82516,0.94659,0.61881,0.52125,0.54365,0.3336,1.23479,0.8672,0.96605,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,376.631,1.22599,0.82128,0.94422,0.60863,0.51931,0.54225,0.33304,1.23128,0.86821,0.96448,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,501.678,1.22274,0.81401,0.94621,0.62914,0.50548,0.53856,0.33129,1.23241,0.86598,0.96593,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,626.77,1.2179,0.8106,0.94263,0.61994,0.51544,0.54383,0.33338,1.22757,0.86301,0.96432,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,751.751,1.21542,0.80974,0.94217,0.62211,0.51473,0.54542,0.33567,1.22845,0.86505,0.96465,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,876.59,1.2129,0.80457,0.94153,0.61944,0.51563,0.54225,0.3341,1.22964,0.86129,0.96206,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,1001.45,1.21257,0.80262,0.94109,0.62319,0.51932,0.54499,0.3355,1.2241,0.85849,0.96115,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,1127.41,1.21221,0.79957,0.94236,0.62266,0.51805,0.54349,0.33389,1.22373,0.85735,0.96201,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,1252.64,1.20893,0.7936,0.93925,0.62855,0.51072,0.5478,0.33677,1.23026,0.85769,0.96228,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,1378.54,1.20374,0.78997,0.93695,0.62629,0.51952,0.54787,0.33507,1.2265,0.85663,0.96166,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,1503.8,1.19992,0.7846,0.93795,0.63675,0.51403,0.54711,0.33634,1.22415,0.85414,0.96156,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,1628.72,1.20582,0.78517,0.93598,0.63403,0.51381,0.54518,0.33589,1.22685,0.85489,0.9623,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,1753.61,1.19523,0.77784,0.93557,0.62138,0.52289,0.54805,0.33843,1.22747,0.85364,0.96212,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,1879.08,1.19343,0.76958,0.93259,0.61869,0.51772,0.54573,0.33744,1.2268,0.85416,0.96169,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,2005.11,1.19548,0.77434,0.93362,0.6248,0.51816,0.54912,0.33904,1.22478,0.85114,0.96092,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,2130.74,1.18977,0.76582,0.93319,0.62781,0.52505,0.55039,0.3381,1.22857,0.85028,0.96151,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,2255.15,1.19059,0.76522,0.93297,0.64287,0.5157,0.5516,0.34106,1.22067,0.84649,0.96007,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,2379.79,1.17969,0.7589,0.93124,0.63086,0.53021,0.55298,0.34033,1.22798,0.84894,0.96115,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,2504.38,1.18809,0.75812,0.93215,0.6354,0.5209,0.55207,0.33979,1.22693,0.84597,0.96013,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2628.92,1.17683,0.7508,0.92928,0.62873,0.52078,0.54948,0.33914,1.22163,0.85277,0.95963,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,2753.42,1.17932,0.75495,0.92968,0.63516,0.51988,0.5505,0.33994,1.22335,0.84467,0.96014,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
