epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,251.527,1.23903,0.82721,0.95072,0.62321,0.51561,0.54495,0.33297,1.2349,0.86726,0.96703,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,376.453,1.23371,0.823,0.94773,0.62083,0.51968,0.54219,0.33202,1.2315,0.86899,0.9646,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,501.23,1.23032,0.81557,0.94933,0.60584,0.51598,0.53856,0.33149,1.22948,0.87055,0.96484,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,625.859,1.22485,0.81423,0.94611,0.62366,0.50925,0.54035,0.33112,1.22718,0.8699,0.96548,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,750.763,1.2223,0.8102,0.94544,0.61706,0.52147,0.5472,0.33706,1.22978,0.8636,0.96475,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,875.505,1.219,0.80632,0.94422,0.61304,0.51783,0.54239,0.33373,1.22644,0.86066,0.96315,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,1000.3,1.21894,0.80546,0.94445,0.62641,0.51579,0.54396,0.33316,1.23021,0.8614,0.96421,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,1125.45,1.21875,0.8039,0.94454,0.62537,0.5091,0.5395,0.33163,1.22712,0.86088,0.96246,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,1250.43,1.21563,0.79608,0.94219,0.6385,0.51079,0.54878,0.33714,1.22841,0.85672,0.96395,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,1375.44,1.20921,0.79232,0.93909,0.62684,0.5158,0.54635,0.33513,1.2323,0.86203,0.96622,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,1500.17,1.20526,0.78655,0.94054,0.63818,0.50721,0.544,0.33552,1.2255,0.85718,0.96405,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,1625.42,1.21035,0.78591,0.93873,0.63308,0.51316,0.54697,0.33647,1.22698,0.85571,0.96365,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
