epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3882.68,1.30887,0.94291,1.0251,0.58043,0.47259,0.49563,0.2961,1.27387,0.9308,1.03401,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4009.84,1.31142,0.94465,1.02812,0.58906,0.47549,0.50188,0.30061,1.27264,0.92876,1.03148,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4137.08,1.3094,0.93648,1.02525,0.58503,0.47972,0.50107,0.30079,1.27793,0.92613,1.03207,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4263.66,1.3007,0.93178,1.02345,0.5935,0.47682,0.50346,0.30099,1.27906,0.92407,1.0331,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,4390.91,1.30568,0.92606,1.02146,0.58827,0.47999,0.50639,0.30349,1.27786,0.91848,1.03005,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,4518.18,1.2946,0.91469,1.02072,0.59697,0.47482,0.50459,0.30315,1.27673,0.92301,1.02908,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,4644.95,1.28915,0.91421,1.0177,0.59505,0.4783,0.50715,0.30565,1.27507,0.91711,1.02928,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,4772.15,1.29182,0.91462,1.01546,0.59569,0.4859,0.5089,0.3052,1.2695,0.91502,1.02695,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,4899.1,1.28287,0.90407,1.01307,0.60264,0.48433,0.51229,0.3091,1.26341,0.90598,1.02273,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,5026.29,1.28322,0.90108,1.01073,0.60272,0.48291,0.5107,0.30754,1.26735,0.91094,1.02503,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
