epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3824.19,1.30736,0.94149,1.01821,0.57698,0.47478,0.49373,0.29394,1.27481,0.93499,1.02811,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,3950.56,1.30893,0.94247,1.02043,0.57333,0.47646,0.49601,0.29677,1.26937,0.92913,1.02412,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4076.12,1.30502,0.93204,1.01638,0.5717,0.47818,0.4961,0.29661,1.27603,0.92705,1.024,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4201.75,1.29858,0.92734,1.01523,0.56451,0.48855,0.50303,0.30252,1.27123,0.92091,1.02134,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,4327.86,1.3035,0.92335,1.01363,0.58027,0.4836,0.50347,0.3024,1.27161,0.9192,1.02139,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,4453.52,1.2911,0.91245,1.01163,0.5838,0.47766,0.50493,0.30321,1.27319,0.91579,1.02201,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,4579.14,1.2868,0.91245,1.00943,0.59114,0.48297,0.50881,0.30712,1.26472,0.91303,1.01971,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,4705.25,1.28952,0.91205,1.00843,0.581,0.48719,0.50804,0.30583,1.26022,0.91202,1.01657,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,4831.26,1.28029,0.90226,1.00553,0.57843,0.48858,0.51,0.30916,1.25654,0.91016,1.01519,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,4956.97,1.28141,0.89898,1.00238,0.59245,0.4875,0.5123,0.30951,1.25775,0.90775,1.01421,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,5082.71,1.27419,0.89166,1.00267,0.57817,0.49429,0.51332,0.31087,1.25953,0.90547,1.01382,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,5208.65,1.27013,0.88622,1.00135,0.59938,0.48399,0.51219,0.31033,1.25162,0.90094,1.00984,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,5334.87,1.2728,0.88697,0.99891,0.59128,0.49131,0.51391,0.31065,1.25475,0.90042,1.01005,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,5460.86,1.27288,0.88408,0.99763,0.58856,0.48953,0.51339,0.31031,1.25371,0.89867,1.01167,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,5586.97,1.26931,0.87693,0.99766,0.59309,0.49461,0.51761,0.31377,1.25047,0.89506,1.00947,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,5713.09,1.26097,0.87129,0.99174,0.59579,0.49033,0.51592,0.31206,1.25225,0.89817,1.00936,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,5838.42,1.26298,0.87182,0.99333,0.58184,0.5002,0.51929,0.31419,1.25114,0.89241,1.00874,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,5964.57,1.25823,0.86567,0.99091,0.58768,0.49756,0.5178,0.31394,1.25159,0.89072,1.00856,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,6090.43,1.26266,0.86769,0.99384,0.59659,0.49082,0.51947,0.31471,1.25035,0.89073,1.00682,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,6218.9,1.25656,0.85943,0.98761,0.58744,0.50504,0.52394,0.31862,1.24943,0.88613,1.00599,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,6344.49,1.25488,0.8594,0.99026,0.60607,0.49603,0.5286,0.32195,1.2426,0.88182,1.00393,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,6469.96,1.25038,0.85519,0.98805,0.59765,0.50248,0.52624,0.31957,1.24476,0.8839,1.00306,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6595.64,1.24862,0.85069,0.9865,0.61184,0.49019,0.52547,0.31956,1.2485,0.88158,1.00389,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,128.056,1.25055,0.8471,0.98479,0.60449,0.50063,0.52893,0.32161,1.2468,0.87931,1.00292,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,254.011,1.24556,0.8416,0.98526,0.61848,0.49795,0.53098,0.32252,1.24543,0.87405,1.00222,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,380.15,1.24343,0.83871,0.98235,0.59849,0.50704,0.52696,0.3191,1.24555,0.87995,1.00115,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,505.787,1.2401,0.83289,0.98394,0.60946,0.50148,0.52959,0.32008,1.24453,0.87761,1.00005,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,631.153,1.23536,0.8317,0.98064,0.61699,0.49757,0.53077,0.32091,1.24161,0.87561,1.00013,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,757.369,1.23349,0.83095,0.97943,0.59995,0.50569,0.52902,0.32159,1.24389,0.8766,1.00043,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,882.777,1.23057,0.82736,0.97847,0.62031,0.50403,0.53258,0.32473,1.24033,0.87335,0.99812,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,1008.74,1.23182,0.82643,0.97842,0.60682,0.51235,0.53295,0.32315,1.24336,0.87206,0.99896,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,1134.68,1.23185,0.82371,0.98035,0.60969,0.50428,0.53165,0.32239,1.24065,0.87199,0.99807,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,1261.52,1.22774,0.81818,0.97523,0.61155,0.50836,0.53776,0.32571,1.23948,0.86966,0.99774,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,1388.7,1.22255,0.81574,0.97289,0.61104,0.50543,0.53428,0.32307,1.24094,0.87174,0.99709,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,1514.78,1.21826,0.81027,0.97441,0.60888,0.50843,0.53294,0.32403,1.23875,0.86963,0.99704,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,1640.87,1.22413,0.81052,0.97222,0.61265,0.50475,0.5368,0.32645,1.23814,0.86593,0.99561,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,1767.17,1.21477,0.80466,0.97186,0.61302,0.50698,0.53502,0.32427,1.24108,0.86738,0.99672,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,1893.4,1.21244,0.79689,0.96819,0.62843,0.502,0.53572,0.32587,1.2414,0.86582,0.99711,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,2019.98,1.21619,0.80188,0.96945,0.60817,0.51591,0.53676,0.32726,1.23692,0.86524,0.99482,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,2146.37,1.21096,0.79378,0.96873,0.6011,0.51817,0.53653,0.3269,1.24058,0.8629,0.99519,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,2272.25,1.21058,0.79289,0.96684,0.60804,0.5137,0.53837,0.32706,1.24101,0.86401,0.99528,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,2397.96,1.19968,0.78781,0.96567,0.60859,0.51025,0.53899,0.32833,1.23916,0.8626,0.99363,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,2524.57,1.2093,0.78721,0.96709,0.62,0.50708,0.53885,0.32753,1.23882,0.86166,0.99406,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,2650.42,1.19858,0.78022,0.9636,0.62135,0.5051,0.53634,0.32612,1.24165,0.86598,0.99355,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,2775.69,1.19988,0.784,0.96303,0.62403,0.51,0.53907,0.3287,1.24241,0.863,0.99326,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,2901.2,1.20098,0.77992,0.96408,0.62326,0.50701,0.54017,0.32872,1.23961,0.86424,0.99228,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,3026.8,1.19688,0.7761,0.96159,0.62425,0.5094,0.54157,0.32926,1.2388,0.86114,0.99184,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,3152.28,1.19207,0.77212,0.96226,0.61807,0.51124,0.54134,0.32916,1.23986,0.86189,0.99328,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,3277.87,1.18475,0.76367,0.96106,0.6155,0.51182,0.54151,0.32914,1.23983,0.86114,0.99334,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
